RecordId,Address,House_Number,Street,Zip_Original,CB_Original,Site,Species,Diameter,Condition,Wires,Sidewalk_Condition,Support_Structure,Borough,X,Y,Longitude,Latitude,CB_New,Zip_New,CensusTract_2010,CensusBlock_2010,NTA_2010,SegmentID,Spc_Common,Spc_Latin,Location
1,245 E 17 ST,245,E 17 ST,10003,106,Front,PLAC,8,Unknown,None,NA,None,Manhattan,988618.9688,206893.764,-73.984235,40.734551,106,10003,48,2000,MN21,33134,LONDON PLANETREE,PLATANUS ACERIFOLIA,"(40.734551, -73.984235)"
514,47 KING ST,47,KING ST,10014,102,Front,ULAM,8,Good,None,Good,None,Manhattan,982898.4033,204442.4793,-74.004877,40.727824,102,10014,37,2002,MN24,32148,"ELM, AMERICAN",ULMUS AMERICANA,"(40.727824, -74.004877)"
1077,327 E 12 ST,327,E 12 ST,10012,102,Across,GLTR,6,Good,None,Good,None,Manhattan,988333.465,205507.9738,-73.985266,40.730748,103,10003,40,6001,MN22,33116,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.730748, -73.985266)"
5132,150 W 51 ST,150,W 51 ST,10019,105,Front,COMA,0,Unknown,None,Good,None,Manhattan,989397.8857,216578.7196,-73.981417,40.761133,105,10019,131,1003,MN17,269856,"CHERRY, CORNELIAN",CORNUS MAS,"(40.761133, -73.981417)"
7247,515 E 72 ST,515,E 72 ST,10021,108,Front,TICO,3,Stump,None,Good,None,Manhattan,997160.5281,218609.2034,-73.953392,40.766699,108,10021,124,6000,MN31,118734,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.766699, -73.953392)"
11520,243 DYCKMAN ST,243,DYCKMAN ST,10034,112,Front,GLTR,12,Good,None,Good,None,Manhattan,1004131.587,254883.669,-73.928119,40.866249,112,10034,295,1001,MN01,72605,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.866249, -73.928119)"
15367,70 W 85 ST,70,W 85 ST,10024,107,Front,PYCA,8,Excellent,None,Good,None,Manhattan,992052.4166,225438.2656,-73.971825,40.785449,107,10024,169,2000,MN12,37310,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.785449, -73.971825)"
36257,330 E 90 ST,330,E 90 ST,10128,108,Front,GLTR,3,Excellent,None,Good,None,Manhattan,998335.1776,223501.4976,-73.949141,40.780125,108,10128,154,6000,MN32,37878,HONEYLOCUST,GLEDITSIA TRIACANTHOS,"(40.780125, -73.949141)"
57208,110 E 153 ST,110,E 153 ST,10451,104,Side,TICO,10,Poor,None,Good,None,Bronx,1004158.272,239476.7122,-73.928068,40.823961,204,10451,63,5001,BX63,69859,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.823961, -73.928068)"
82648,1357 TAYLOR AV,1357,TAYLOR AV,10460,109,Across,ACPL,5,Good,None,Good,None,Bronx,1021391.359,243169.399,-73.865782,40.834041,209,10472,76,5005,BX08,85941,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.834041, -73.865782)"
101794,683 PRESIDENT ST,683,PRESIDENT ST,11215,206,Across,QUPA,6,Good,None,Good,None,Brooklyn,989768.4359,185369.929,-73.980105,40.675473,306,11215,133,1000,BK37,22890,"OAK, PIN",QUERCUS PALUSTRIS,"(40.675473, -73.980105)"
122360,2001 E 27 ST,2001,E 27 ST,11229,215,Side,GIBI,7,Good,None,Good,None,Brooklyn,999479.755,158729.6401,-73.945155,40.602339,315,11229,574,1002,BK44,127386,GINKGO,GINKGO BILOBA,"(40.602339, -73.945155)"
170893,1469 SCHNECTADY AV,1469,SCHNECTADY AV,11203,217,Front,ACSA1,12,Good,Yes,Raised,None,Brooklyn,1003193.124,171279.6717,-73.931747,40.636779,317,11203,932,1008,BK91,42020,"MAPLE, SILVER",ACER SACCHARINUM,"(40.636779, -73.931747)"
206597,121 97 ST,121,97 ST,11209,210,Front,AB,0,Excellent,None,Good,None,Brooklyn,973936.694,163466.8837,-74.037147,40.615349,310,11209,5601,1000,BK31,16606,"FIR, OTHER",ABIES SPECIES,"(40.615349, -74.037147)"
242677,71-003 67 ST,71-003,67 ST,11385,405,Adjacent,ACPL,3,Good,Yes,Good,None,Queens,1015539.531,195462.4289,-73.88715,40.703121,405,11385,627,2002,QN19,49234,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.703121, -73.88715)"
280121,183-002 146 TER,183-002,146 TER,11413,413,Across,ACSA1,18,Good,None,Good,None,Queens,1049712.295,180021.9362,-73.764053,40.660553,413,11413,320,4011,QN03,59813,"MAPLE, SILVER",ACER SACCHARINUM,"(40.660553, -73.764053)"
290766,56-023 137 ST,56-023,137 ST,11355,407,Front,PYCA,8,Excellent,None,Good,None,Queens,1031935.992,211887.9821,-73.827898,40.748132,407,11355,799,1002,QN62,91152,"PEAR, CALLERY",PYRUS CALLERYANA,"(40.748132, -73.827898)"
314269,147-026 109 AV,147-026,109 AV,11435,412,Front,TICO,5,Good,Yes,Good,None,Queens,1039809.62,191051.9879,-73.799654,40.690896,412,11435,196,1001,QN01,57332,"LINDEN, LITTLE LEAF",TILIA CORDATA,"(40.690896, -73.799654)"
343117,32-031 76 ST,32-031,76 ST,11370,403,Adjacent,UNKSTUM,21,Stump,None,Raised,None,Queens,1014389.365,214884.9633,-73.891212,40.756435,403,11370,30903,1004,QN28,130504,UNKNOWN STUMP,UNKNOWN STUMP,"(40.756435, -73.891212)"
365113,163-031 25 AV,163-031,25 AV,11357,407,Front,ACPL,10,Good,None,Good,None,Queens,1039594.015,221556.3554,-73.800181,40.774624,407,11357,1059,4000,QN51,93311,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.774624, -73.800181)"
397595,130-042 244 ST,130-042,244 ST,11422,413,Side,ACPL,12,Good,None,Good,None,Queens,1059819.456,186122.3282,-73.727555,40.677217,413,11422,61602,1007,QN05,64169,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.677217, -73.727555)"
402429,179-035 ZOLLER RD,179-035,ZOLLER RD,11434,412,Front,ACPL,16,Poor,Yes,Good,None,Queens,1050070.627,188027.288,-73.762683,40.682523,412,11434,366,2003,QN08,59957,"MAPLE, NORWAY",ACER PLATANOIDES,"(40.682523, -73.762683)"
